,news_title,news_details,news_date,source_name
10,"Money Laundering Case: दिल्ली पुलिस के EOW दफ्तर पहुंची नोरा फतेही, होगी पूछताछ",मनी लॉन्ड्रिंग केस में नोरा फतेही की मुश्किलें बढ़ती दिख रही हैं आज नोरा दिल्ली पुलिस के ईओडब्ल्यू दफ्तर पहुंची है जहां उनसे इस मामले में पूछताछ होगी. सुकेश चंद्रशेखर मनी लॉन्ड्रिंग मामले से जुड़े सवाल नोरा से पूछे जाएंगे.,"Sep 15,2022, 14:00 PM IST",ZEE News
11,Money laundering case: जैकलीन-नोरा के बाद सुकेश से जुड़ा निक्की तंबोली का नाम,सुकेश चंद्रशेखर ठगी मामले (sukesh chandrashekhar case) में ईडी हर दिन बड़े खुलासे कर रही है. अब इस के में एक्ट्रेस जैकलीन फर्नांडीज (jacqueline fernandez) और नोरा फतेही (Nora fatehi) के बाद चार और हसीनाओं के नाम का खुलासा हुआ है. जिनका संबंध सुकेश था.,"Sep 15,2022, 12:28 PM IST",ZEE News
12,मनी लॉन्ड्रिंग केस में जैकलीन फर्नांडीज के बाद आज होगी नोरा फतेही से पूछताछ,"तिहाड़ जेल के अंदर से अपनी पहचान बदलकर महाठग सुकेश चंद्रशेखर के द्वारा 200 करोड़ रुपये की ठगी की गई, इस मामले में दिल्ली पुलिस की आर्थिक अपराध शाखा (EoW) ने बुधवार को जैकलीन फर्नांडीज से पूछताछ की तो वहीं आज नोरा फतेही से पूछताछ की जाएगी. ","Sep 15,2022, 8:55 AM IST",ZEE News
13,"मनी लॉन्ड्रिंग मामले में जैकलिन फर्नांडीस से EOW करेगी पूछताछ, पूछे जाएंगे ये सवाल",बॉलीवुड अभिनेत्री के लिए दिल्ली पुलिस की अपराध शाखा ने सवालों की लंबी फेहरिस्त तैयार कर रही है. सवाल सुकेश के साथ उसके रिश्ते और उससे मिले उपहार पर आधारित हैं. जैकलीन से ये भी पूछा जाएगा कि वह उस दौरान वो कितनी बार सुकेश से मिली या फोन पर संपर्क किया. सूत्रों से मिली जानकारी के अनुसार आर्थिक अपराध शाखा (EOW) ने इस मामले में पिंकी ईरानी को भी जांच में शामिल होने के लिए तलब किया है. पिंकी ईरानी सुकेश को जैकलिन फर्नांडीस से मिलवाने में मदद की थी. वो दोनों के बीच की कड़ी है. उन दोनों को अच्छी से जानती थी.,"Sep 14,2022, 10:45 AM IST",ZEE News
14,"ED Raid in Kolkata: ଦିଦିଙ୍କ ଗଡରେ ଇଡି ଆକ୍ସନ, ଜବତ ହେଲା ଟଙ୍କାର ପାହାଡ଼!",ED Raid in Kolkata: ଲଗାତାର କିଛି ଦିନ ହେବ ଦେଶର ଅନେକ ରାଜ୍ୟରେ ଇଡି ରେଡ୍ କରୁଥିବା ଦେଖିବାକୁ ମିଳୁଛି । ଏହି କର୍ମରେ ମୋବାଇଲ୍ ଆପ୍ଲିକେସନ ଠକେଇ ମାମଲାକୁ ଏନଫୋର୍ସମେଣ୍ଟ ଡାଇରେକ୍ଟୋରେଟ (ଇଡି) କୋଲକାତାର ଜଣେ ବ୍ୟବସାୟୀଙ୍କ ଘର ଚଢ଼ାଉ କରିଛି ।,"Sep 10,2022, 16:45 PM IST",ZEE News
15,"Delhi Ncr Haryana Live news:हरियाणा के सीएम मनोहर लाल का दिल्ली दौरा आज, कई मंत्रियों से कर सकते हैं मुलाकात","Delhi Ncr Haryana Live news: हरियाणा के सीएम मनोहर लाल का दिल्ली दौरा आज, कई मंत्रियों से मुलाकात करेंगे. ","Sep 10,2022, 8:29 AM IST",ZEE News
16,Delhi Ncr Haryana Live news: BJP का मिशन 2024: पार्टी ने किया राज्य प्रभारी और सह-प्रभारी के नामों का ऐलान,"भारतीय जनता पार्टी ने शुक्रवार यानी की आज विभिन्न राज्यों के प्रभारियों और सह-प्रभारियों की जिम्मेदारी में बड़ा बदलाव कर दिया है. इसके अंतर्गत पूर्व मुख्यमंत्री विजय रुपाणी, बिप्लब देब और पूर्व केंद्रीय मंत्री प्रकाश जावड़ेकर को क्रमशः पंजाब, हरियाणा, केरल में पार्टी मामलों का प्रभारी बनाया गया. राज्यों में होने वाले आगामी विधान सभा चुनावों के साथ-साथ 2024 में होने वाले लोक सभा चुनाव के चलते इन बदलावों को काफी महत्वपूर्ण माना जा रहा है.","Sep 9,2022, 8:19 AM IST",ZEE News
17,"Delhi Ncr Haryana Live news: रेवाड़ी में पिता की शर्मनाक करतूत, 10-12 साल के बेटा-बेटी को बनाया हवस का शिकार",रेवाड़ी में एक कलयुगी पिता की घिनौनी करतूत सामने आई है. जहाँ आरोपी पिता ने अपने 10 साल के बेटे और 12 साल की बेटी को हवस का शिकार बनाया है. ,"Sep 8,2022, 7:53 AM IST",ZEE News
18,Delhi Ncr Haryana Live news: सीएम अरविंद केजरीवाल ने प्रधानमंत्री मोदी को ट्वीट कर दी ये सलाह...,कथित आबकारी नीति के घोटाले में ED ने कल tricity और आस पास के इलाकों में 3 रेड मारी. दिल्ली की आबकारी नीति पर जांच चल रही है और इस जांच का असर tricity और पंजाब में देखने को मिल रहा है. कल ED के 8 अफसरों की एक टीम आई.,"Sep 7,2022, 8:32 AM IST",ZEE News
19,"Delhi Ncr Haryana Live news: ज़ी मीडिया की खबर का असर, लिफ्ट में बच्चे को कुत्ते के काटने पर नगर निगम ने मालिक पर 5 हजार का जर्माना लगाया",Delhi Ncr Haryana Live news: राजनगर एक्सटेंशन की सोसाइटी चार्म कैसल गिफ्ट में एक 9 वर्षीय बच्चे को कुत्ते ने उस वक्त काट लिया ट्यूशन पढ़कर घर वापस लौट रहा था ज़ी मीडिया ने इस खबर को प्रमुखता के साथ दिखाया जिसके बाद नगर निगम की टीम एक्शन में आई और कुत्ते मालिकों के घर जाकर लाइसेंस और वेक्सीनेशन के कागज चेक किए वैक्सीनेशन पूरा पाने के बाद नगर निगम ने कुत्ते रखने का लाइसेंस ना होने पर इस कुत्ते मालिक पर ₹5000 का जुर्माना लगाया है.,"Sep 6,2022, 7:37 AM IST",ZEE News
