,news_title,news_details,news_date,source_name
42,"Hijab Controversy: कुरान के आधार पर नहीं,महिलाओं के अधिकार पर हो फैसला- मुस्लिम पक्ष","Hijab Controversy: हिजाब विवाद में अब मुस्लिम पक्ष ने सुप्रीम कोर्ट से कहा है कि, फैसला महिलाओं के अधिकार पर हो ना कि कुरान के आधार पर","Sep 13,2022, 16:00 PM IST",ZEE News
43,"Hijab Case: यूनिफॉर्म जरूरी है, उससे किसी को दिक्कत नहीं, लेकिन हिजाब कुछ अलग है: SC","Hijab Raw: सुप्रीम कोर्ट में हिजाब मामले पर बीते कल चौथे दिन की सुनवाई पूरी हुई है. यहां याचिकाकर्ता के पक्ष के वकील सलमान खुर्शीद ने स्कूल कॉलेज में हिजाब पहनने की इजाजत दिए जाने के पक्ष में कहा कि स्कूल में ड्रेस जरूरी है उससे किसी को दिक्कत नहीं है, लेकिन हिजाब कुछ अलग है.","Sep 13,2022, 10:25 AM IST",ZEE News
44,"हिजाब पहने लड़कियां कर रहीं ये खास काम, हो गईं वायरल","वीडियो में देखा जा सकता है कि ओणम के मौके पर स्कूल में कार्यक्रम का आयोजन किया गया है, जिसमें कुछ लड़कियां स्टेज पर साड़ी और हिजाब पहनकर डांस करती नजर आ रही हैं, साथ ही ऑडियंस यानी जो लड़कियां उनका डांस देख रही हैं, वो भी हिजाब पहने गाने पर झूमती नजर आ रही हैं. यह वीडियो केरल के एक सरकारी स्कूल का है, जिसने लोगों का दिल जीत लिया है.","Sep 9,2022, 23:55 PM IST",ZEE News
45,"रुद्राक्ष और क्रॉस की तुलना हिजाब से नहीं की जा सकती, सुप्रीम कोर्ट की टिप्पणी","Supreme Court ने ये टिप्पणी याचिकाकर्ता की ओर से पेश देवदत्त कामत की दलीलों पर की. कामत का कहना था कि स्कूल में छात्र क्रॉस या रुद्राक्ष भी पहनते है, सिर्फ एक समुदाय विशेष को टारगेट किया जा रहा है. ","Sep 7,2022, 19:26 PM IST",ZEE News
46,"मुस्लिम शख्स ने SC में हिजाब का किया विरोध, कहा- पवित्र कुरान में इसका जिक्र नहीं","सुप्रीम कोर्ट में एक हस्तक्षेप याचिका दायर कर भारतीय सशस्त्र बलों के एक पूर्व अधिकारी सैयद हबीब-उर-रहमान मुस्लिम महिलाओं पर हिजाब को थोपने का विरोध किया है, और इसे धर्म का जरूरी हिस्सा नहीं माना है. ","Sep 6,2022, 22:31 PM IST",ZEE News
47,"हिजाब विवाद पर सुप्रीम कोर्ट की अहम टिप्पणी, कहा - यह धार्मिक विवाद नहीं!",Hijab Controversy: सुनवाई के दौरान याचिकाकर्ता के वकील संजय हेगड़े ने कहा कि कॉलेज में ज्यादा कपड़े पहनना ड्रेस कोड का उल्लंघन नहीं है. धार्मिक वजहों से टारगेट किया जा रहा है. ,"Sep 6,2022, 18:03 PM IST",ZEE News
48,"महिलाओं को लेकर तालिबान का नया फरमान, अमल नहीं किया तो दुकानदारों पर होगी कार्रवाई","Taliban Hijab: जब से अफगानिस्तान की सत्ता पर तालिबान आया है, तभी से महिलाओं को लेकर तरह-तरह के आदेश जारी हो रहे हैं. अब नए फरमान में दुकानदारों से कहा गया है कि अगर वो बिना हिजाब वाली महिलाओं को सामान देंगे तो उनके खिलाफ कार्रवाई होगी. ","Aug 31,2022, 11:42 AM IST",ZEE News
49,Hijab Row : केरल के कोझिकोड में हिजाब बैन के खिलाफ प्रदर्शन,केरल में भी अब हिजाब विवाद शुरु हो गया है. कोझिकोड में एक स्कूल में हिजाब बैन के खिलाफ प्रदर्शन किया जा रहा है. छात्राओं का आरोप है कि स्कूल में कई टीचर हेड स्कार्फ पहनकर आते हैं तो फिर हिजाब पहनने पर पाबंदी क्यों.,"Aug 30,2022, 10:44 AM IST",ZEE News
50,Hijab Row : AIMIM प्रमुख ओवैसी की प्रेस कॉन्फेंस,कुछ खास जगहों पर नमाज पढ़ने को लेकर होने वाले विवाद के मुद्दे पर ओवैसी ने सवाल उठाए. ओवैसी ने कहा कि मुस्लिमों को नमाज पढ़ने से रोका गया. ओवैसी ने दुमका की घटना पर दुख जताया.,"Aug 29,2022, 16:16 PM IST",ZEE News
51,"कर्नाटक हिजाब मामले में SC का नोटिस, सुनवाई टालने की मांग पर याचिकाकर्ताओं को फटकार",Hijab ban: याचिकाकर्ताओं ने कर्नाटक हाई कोर्ट के फैसले के खिलाफ सुप्रीम कोर्ट का रुख किया था. 15 मार्च को कर्नाटक हाईकोर्ट ने फैसला दिया था कि महिलाओं का हिजाब पहनना इस्लाम का अनिवार्य हिस्सा नहीं है और स्कूल-कॉलेज में यूनिफॉर्म के पालन का राज्य का आदेश सही है. ,"Aug 29,2022, 12:38 PM IST",ZEE News
